"concept_id","sex","age_group","patient_count_d1","patient_count_d2","denominator_d1","denominator_d2","prevalence_d1","prevalence_d2","log2_pr","se","ci_low","ci_high","ci_width","fold_diff","fold_ci_low","fold_ci_high","fold_ci_width","fold_symmetric","z","p_value","sig","meta_model_type","n_strata"
4187379,"M","20-29",1238,508,371950,148199,0.00332840435542412,0.00342782339961808,0.121201938242899,0.0874068452382122,-0.0501123304262635,0.292516206912061,0.342628537338324,1.08764062043822,0.965861122583615,1.22477454736234,0.258913424778723,1.08764062043822,1.38664126262175,0.165551179530711,FALSE,"Random-Effects",13
4187379,"M","30-39",888,488,450179,214081,0.00197254869729596,0.00227951102620036,0.201674997741009,0.103519887722976,-0.00122025387965277,0.404570249361671,0.405790503241324,1.15003279122072,0.999154542064883,1.323694548943,0.324540006878113,1.15003279122072,1.9481763569982,0.0513938647938118,FALSE,"Random-Effects",13
4187379,"M","40-49",706,322,398693,189311,0.0017707860433968,0.0017009048602564,-0.0485938803543385,0.0973031611193269,-0.239304571730117,0.14211681102144,0.381421382751557,0.966878235647506,0.847153570904198,1.10352308563255,0.256369514728352,1.0342563966499,-0.499407005849952,0.617492684692516,FALSE,"Random-Effects",13
4187379,"M","50-59",998,360,352310,154689,0.00283273253668644,0.00232725015999845,-0.298736945536193,0.140556708693832,-0.574223032361592,-0.0232508587107941,0.550972173650798,0.812963820603284,0.671647871933471,0.98401290501722,0.312365033083749,1.23006703946299,-2.12538375657982,0.0335546045453685,TRUE,"Random-Effects",13
4187379,"M","60-69",1060,281,283100,109048,0.00374425997880608,0.00257684689311129,-0.536162237945494,0.145234145722735,-0.820815932887497,-0.251508543003492,0.569307389884006,0.689602907413534,0.566121675421513,0.840017597911476,0.273895922489963,1.45010989549139,-3.69170924149666,0.000222752031391957,TRUE,"Random-Effects",13
4187379,"M","70-79",966,313,169559,57520,0.00569713197176204,0.00544158553546592,-0.0320033579491497,0.0945717790213262,-0.21736063878483,0.15335392288653,0.37071456167136,0.978061196955431,0.860137590189963,1.1121519578962,0.252014367706241,1.02243091036927,-0.33840283306855,0.735059639460513,FALSE,"Random-Effects",13
4187379,"M","80+",442,131,72978,18358,0.00605661980322837,0.00713585357882122,0.312825864483702,0.145532119032128,0.0275881525869361,0.598063576380468,0.570475423793532,1.24213834472202,1.01930665909873,1.51368349618457,0.494376837085839,1.24213834472202,2.14953143377678,0.0315922970835971,TRUE,"Random-Effects",11
4189015,"F","20-29",133,200,195567,131217,0.000680073836587972,0.00152419274941509,1.35403367169268,0.161851600987828,1.03681036291639,1.67125698046897,0.634446617552581,2.55625838734617,2.05168658611297,3.18491965932162,1.13323307320866,2.55625838734617,8.36589606422556,5.96597705022856e-17,TRUE,"Random-Effects",8
4189015,"F","30-39",319,407,417777,354413,0.000763565251318287,0.00114837774009418,0.619114830798851,0.108283278250671,0.406883505299608,0.831346156298095,0.424462650998487,1.53593251683953,1.32581869880355,1.77934486699719,0.453526168193637,1.53593251683953,5.71754790583298,1.08072212835332e-08,TRUE,"Random-Effects",13
4189015,"F","40-49",554,778,387796,352668,0.00142858616385935,0.00220604080891944,0.632081351422141,0.0802669868089454,0.474760948129057,0.789401754715226,0.314640806586169,1.54979925032328,1.38968793207162,1.72835761243324,0.338669680361617,1.54979925032328,7.87473625896342,3.41462385143628e-15,TRUE,"Random-Effects",13
4189015,"F","50-59",908,1136,384882,319771,0.00235916462708051,0.0035525422880749,0.530971403725601,0.0653026832574864,0.402980496447101,0.658962311004101,0.255981814557,1.44490175762501,1.3222367299246,1.57894652442977,0.256709794505165,1.44490175762501,8.13092781550793,4.26016988031869e-16,TRUE,"Random-Effects",13
4189015,"F","60-69",841,988,371433,245621,0.00226420377295501,0.00402245736317334,0.783523811910799,0.0969032212087732,0.593596988355686,0.973450635465913,0.379853647110227,1.72133012616745,1.50900437472094,1.96353135410862,0.45452697938768,1.72133012616745,8.0856322642024,6.18425227747911e-16,TRUE,"Random-Effects",13
4189015,"F","70-79",413,412,272041,128303,0.00151815351362478,0.00321114860915177,0.93387743099678,0.131261007196687,0.676610584316822,1.19114427767674,0.514533693359917,1.91040356111852,1.59838016388969,2.28333774954566,0.684957585655979,1.91040356111852,7.11465995074547,1.12189093375314e-12,TRUE,"Random-Effects",12
4189015,"F","80+",47,42,77703,24111,0.000604867250942692,0.00174194351126042,1.48558337164809,0.349943470832094,0.799706772192242,2.17145997110394,1.37175319891169,2.80030383990195,1.74074728369966,4.50479036744692,2.76404308374726,2.80030383990195,4.24520957089348,2.18389210043475e-05,TRUE,"Random-Effects",4
4189015,"M","20-29",388,295,371950,148199,0.00104315096115069,0.00199056673796719,1.21269031282788,0.130125782972886,0.957648464740952,1.46773216091482,0.510083696173865,2.31769433694483,1.94214170015749,2.76586772173758,0.823726021580094,2.31769433694483,9.31936995976091,1.17033174388373e-20,TRUE,"Random-Effects",13
4189015,"M","30-39",972,857,450179,214081,0.00215914114163477,0.00400315768330679,0.963965290631741,0.0963608143584259,0.775101564968276,1.15282901629521,0.37772745132693,1.95066399204949,1.71131052248079,2.22349477776975,0.512184255288952,1.95066399204949,10.0037063514859,1.46797702920265e-23,TRUE,"Random-Effects",13
4189015,"M","40-49",1251,1071,398693,189311,0.0031377526066422,0.00565735746998326,0.841739377586266,0.0600123132287852,0.72411740502891,0.959361350143622,0.235243945114711,1.79220960778095,1.6518897534798,1.94444893883266,0.292559185352869,1.79220960778095,14.0261111811721,1.07908622688367e-44,TRUE,"Random-Effects",13
