"concept_id","n_patients","n_records"
37153077,12,12
37163776,12,12
40481144,12,12
42872509,12,12
4032566,11,11
4067713,11,11
4070140,11,73
4106090,11,11
4123420,11,11
4123868,11,17
4143686,11,11
4166929,11,11
4198228,11,11
4213796,11,12
4217238,11,11
4247555,11,13
4249749,11,11
4261947,11,14
4265608,11,11
4269222,11,24
4286807,11,11
4296296,11,11
4337138,11,22
4337385,11,11
37153174,11,11
40486467,11,11
1244464,10,11
4003384,10,11
4023268,10,10
4028229,10,18
4050137,10,10
4075903,10,10
4084585,10,10
4125153,10,18
4128031,10,10
4143164,10,10
4217034,10,10
4220237,10,11
4233291,10,10
4290106,10,11
4302080,10,10
4327660,10,10
4337206,10,10
4346400,10,10
42872876,10,22
619762,9,9
4010247,9,10
4012925,9,9
4019661,9,9
4032929,9,9
4070609,9,9
4073521,9,10
4082198,9,9
4099462,9,17
4107087,9,10
4121436,9,9
4122777,9,9
4127779,9,11
4141922,9,9
4143592,9,10
4149741,9,9
4173589,9,9
4174389,9,9
4183274,9,11
4185284,9,9
4208846,9,9
4213288,9,9
4214034,9,9
4238206,9,10
4242750,9,9
4244431,9,9
4284555,9,9
4287693,9,9
4302674,9,9
4339388,9,9
36675314,9,9
1242824,8,8
4013347,8,8
4023136,8,8
4034327,8,8
4035620,8,8
4046923,8,8
4052846,8,8
4069110,8,8
4074831,8,8
4075430,8,10
4094533,8,9
4116917,8,8
4117066,8,10
4202369,8,15
4217192,8,8
4223934,8,8
4248130,8,8
4297249,8,9
4298398,8,8
4336914,8,9
4338739,8,8
4342019,8,8
35622454,8,8
37017256,8,9
37204867,8,8
37208338,8,8
42537263,8,10
44811670,8,8
4000738,7,7
4032621,7,7
4049372,7,16
4070610,7,7
4097552,7,7
4118091,7,7
4118094,7,7
4120973,7,11
4121414,7,7
4126771,7,7
4138872,7,7
4139012,7,9
4142398,7,7
4146626,7,7
4158252,7,7
4178606,7,7
4181652,7,7
4185622,7,7
4192551,7,7
4194872,7,8
4203428,7,7
4212613,7,7
4213291,7,7
4214730,7,8
4217482,7,7
4220384,7,7
4222885,7,13
4233625,7,14
4243659,7,8
4253894,7,7
4264707,7,7
4267117,7,8
4267594,7,7
4273866,7,7
4279443,7,7
4279633,7,7
4297990,7,7
4300403,7,7
4307531,7,7
4311038,7,7
4311424,7,7
4327488,7,7
4329726,7,8
4337610,7,7
4338441,7,7
4343345,7,7
37016897,7,7
37154360,7,7
37158404,7,227
40490324,7,7
40492244,7,11
40492254,7,7
4046749,6,6
4047234,6,6
4066634,6,6
4067254,6,6
4067825,6,6
4070688,6,6
4078220,6,6
4091623,6,7
4100913,6,6
4103380,6,6
4120786,6,7
4143045,6,6
4165077,6,6
4166711,6,6
4171206,6,6
4174652,6,6
4180074,6,6
4192502,6,6
4209601,6,6
4216997,6,6
4219346,6,6
4231751,6,6
4241048,6,6
4253787,6,6
4262950,6,6
4271929,6,6
4281511,6,6
4295736,6,6
4296622,6,6
4299185,6,6
4307652,6,6
4321679,6,6
4322874,6,6
4324546,6,7
4327963,6,6
4334487,6,6
4335824,6,6
4336916,6,16
4343570,6,6
37156605,6,6
37158185,6,11
40483561,6,6
40487173,6,6
40489804,6,6
42872835,6,6
618912,5,6
4028623,5,5
4028897,5,8
4029550,5,5
4030660,5,5
4035162,5,5
4045952,5,5
4047347,5,6
4047947,5,5
4051945,5,5
4052106,5,6
4060629,5,5
4063398,5,50
4067128,5,5
4069480,5,5
4074138,5,5
4075168,5,7
4075290,5,5
4081380,5,5
4100718,5,5
4101626,5,5
4120666,5,5
4123886,5,5
4142380,5,5
4142397,5,5
4144552,5,5
4151632,5,5
4154201,5,5
4164726,5,5
4168082,5,5
4168523,5,5
4168628,5,5
4181778,5,5
4181954,5,5
4200684,5,5
4205231,5,5
4216130,5,5
4220239,5,5
4225570,5,5
4237430,5,16
4243780,5,5
4253785,5,5
4262915,5,10
4266515,5,5
4287321,5,5
4287941,5,5
4299447,5,5
4299600,5,5
4302534,5,6
4308646,5,5
4321098,5,5
4321828,5,5
4323816,5,5
4324451,5,5
4343012,5,5
40485989,5,5
40486542,5,5
40489379,5,5
40489836,5,5
46273536,5,5
46285669,5,10
