"year","sex","age_group","death_count","denominator","mortality_rate"
2019,"F","70-79",162,7616,0.0212710084033613
2019,"F","80+",420,5780,0.0726643598615917
2019,"M","20-29",6,10507,0.000571047872846674
2019,"M","30-39",16,13415,0.00119269474468878
2019,"M","40-49",24,11180,0.00214669051878354
2019,"M","50-59",87,9722,0.00894877597202222
2019,"M","60-69",165,8401,0.019640518985835
2019,"M","70-79",206,5094,0.0404397330192383
2019,"M","80+",211,2404,0.0877703826955075
2020,"F","30-39",5,12305,0.000406338886631451
2020,"F","40-49",18,10470,0.00171919770773639
2020,"F","50-59",39,10807,0.00360877209216249
2020,"F","60-69",77,10485,0.00734382451120649
2020,"F","70-79",130,7703,0.016876541607166
2020,"F","80+",469,6049,0.0775334766077038
2020,"M","20-29",7,10083,0.000694237826043836
2020,"M","30-39",16,13547,0.0011810733003617
2020,"M","40-49",36,11343,0.00317376355461518
2020,"M","50-59",87,9758,0.00891576142652183
2020,"M","60-69",163,8494,0.0191900164822227
2020,"M","70-79",217,5198,0.0417468257021932
2020,"M","80+",252,2563,0.0983222785797893
2021,"F","30-39",6,12386,0.000484417891167447
2021,"F","40-49",19,10469,0.00181488203266788
2021,"F","50-59",29,10644,0.00272453964674934
2021,"F","60-69",75,10612,0.00706747078778741
2021,"F","70-79",194,7779,0.0249389381668595
2021,"F","80+",555,6328,0.0877054361567636
2021,"M","10-19",5,9382,0.000532935408228523
2021,"M","20-29",9,9653,0.000932352636486067
2021,"M","30-39",11,13623,0.00080745797548264
2021,"M","40-49",35,11380,0.00307557117750439
2021,"M","50-59",102,9789,0.0104198590254367
2021,"M","60-69",182,8580,0.0212121212121212
2021,"M","70-79",230,5304,0.0433634992458522
2021,"M","80+",337,2731,0.123398022702307
2022,"F","20-29",5,9365,0.000533902829684997
2022,"F","30-39",7,12414,0.000563879490897374
2022,"F","40-49",14,10467,0.00133753702111398
2022,"F","50-59",44,10611,0.0041466402789558
2022,"F","60-69",89,10732,0.00829295564666418
2022,"F","70-79",132,7823,0.0168733222548894
2022,"F","80+",544,6438,0.0844982913948431
2022,"M","20-29",6,9314,0.00064419153961778
2022,"M","30-39",22,13596,0.00161812297734628
2022,"M","40-49",43,11441,0.0037584127261603
2022,"M","50-59",98,9837,0.00996238690657721
2022,"M","60-69",184,8637,0.0213036934120644
2022,"M","70-79",229,5416,0.0422821270310192
2022,"M","80+",330,2781,0.11866235167206
2023,"F","20-29",5,9201,0.000543419193565917
2023,"F","30-39",12,12197,0.000983848487332951
2023,"F","40-49",12,10642,0.00112760759255779
2023,"F","50-59",44,10591,0.00415447077707488
2023,"F","60-69",83,10727,0.00773748485130978
2023,"F","70-79",150,8057,0.0186173513714782
2023,"F","80+",505,6451,0.078282436831499
2023,"M","10-19",7,10836,0.000645994832041344
2023,"M","20-29",8,9044,0.000884564352056612
2023,"M","30-39",18,13329,0.00135043889264011
2023,"M","40-49",45,11655,0.00386100386100386
2023,"M","50-59",80,9887,0.00809143319510468
2023,"M","60-69",184,8696,0.0211591536338546
2023,"M","70-79",253,5536,0.0457008670520231
2023,"M","80+",284,2777,0.102268635217861
2024,"F","30-39",10,11928,0.000838363514419852
2024,"F","40-49",13,10814,0.0012021453671167
2024,"F","50-59",33,10539,0.0031312268716197
2024,"F","60-69",81,10709,0.00756373144084415
2024,"F","70-79",187,8330,0.0224489795918367
2024,"F","80+",586,6519,0.0898910875901212
2024,"M","30-39",28,13036,0.0021478981282602
2024,"M","40-49",35,11853,0.00295283894372733
2024,"M","50-59",88,9896,0.00889248181083266
2024,"M","60-69",213,8679,0.0245419979260283
2024,"M","70-79",239,5731,0.0417030186703891
2024,"M","80+",301,2810,0.10711743772242
