"concept_id","relationship","target_concept_id","target_concept_name"
200524,"finding_site",4314892,"Structure of digestive system"
200524,"occurrence",37160324,"Fetal and/or neonatal period"
200524,"occurrence",42872435,"Fetal or neonatal period"
200527,"finding_site",4108408,"Entire spleen"
200527,"morphology",40481759,"Enlargement"
200528,"finding_site",4307671,"Peritoneal cavity structure"
200528,"morphology",4331182,"Serous effusion"
200616,"finding_site",4300938,"Structure of transplanted liver"
200618,"clinical_course",4312510,"Sudden onset AND/OR short duration"
200670,"finding_site",4133451,"Male genital organ structure"
200670,"morphology",4305589,"Neoplasm, benign"
200675,"finding_site",4049448,"Ovarian structure"
200675,"morphology",4313421,"Neoplasm of uncertain behavior"
200687,"finding_site",4271678,"Kidney structure"
200763,"clinical_course",4236661,"Chronic"
200763,"finding_site",4009105,"Liver structure"
200763,"morphology",4253009,"Chronic inflammatory morphology"
200765,"clinical_course",4236661,"Chronic"
200765,"finding_site",4151384,"Gallbladder structure"
200765,"morphology",4253009,"Chronic inflammatory morphology"
200773,"finding_site",4202233,"Anal structure"
200773,"finding_site",4144541,"Rectum structure"
200773,"morphology",4217691,"Stenosis"
200775,"finding_site",4099331,"Endometrial structure"
200775,"morphology",4296894,"Hyperplasia"
200779,"finding_site",4034303,"Body of uterus structure"
200779,"morphology",4187628,"Polyp"
200789,"finding_site",4299940,"Placental structure"
200789,"morphology",4279837,"Retention"
200789,"occurrence",4112266,"Maternal postpartum"
200831,"finding_site",4077311,"Penile structure"
200831,"morphology",4175951,"Morphologically abnormal structure"
200831,"occurrence",4116830,"Congenital"
200831,"pathology",4204670,"Pathological developmental process"
200962,"finding_site",4165732,"Prostate"
200962,"morphology",37153816,"Malignant neoplasm"
200962,"morphology",4312326,"Neoplasm, malignant (primary)"
200962,"pathology",37157802,"Primary malignant neoplastic proliferation"
201045,"finding_site",4121852,"External rectal venous plexus"
201045,"morphology",4320147,"Thrombosed varices"
201061,"finding_site",4236847,"Diaphragm structure"
201061,"finding_site",37303864,"Intra-abdominopelvic structure"
201061,"finding_site",4000057,"Structure of abdominopelvic viscus"
201061,"morphology",4190388,"Hernia"
201061,"morphology",4185788,"Hernial opening"
201066,"finding_site",4154158,"Bile duct structure"
201066,"morphology",4093906,"Obstruction"
201078,"finding_site",4211117,"Vaginal mucous membrane structure"
201078,"finding_site",4296022,"Vaginal structure"
201078,"morphology",4053015,"Inflammation"
201078,"morphology",4253008,"Inflammatory morphology"
201078,"morphology",4304187,"Reactive cellular changes associated with atrophy"
201111,"finding_site",4271678,"Kidney structure"
201111,"morphology",4099541,"Congenital dysplasia"
201111,"morphology",4093447,"Dysplasia"
201111,"occurrence",4116830,"Congenital"
201111,"pathology",4204670,"Pathological developmental process"
201121,"finding_site",4030072,"Structure of urachus"
201121,"morphology",4175951,"Morphologically abnormal structure"
201121,"occurrence",4116830,"Congenital"
201121,"pathology",4204670,"Pathological developmental process"
201136,"finding_site",4244578,"Structure of umbilical cord stump"
201136,"morphology",4053015,"Inflammation"
201136,"morphology",4253008,"Inflammatory morphology"
201136,"occurrence",4114528,"Neonatal"
201136,"pathology",40480911,"Infectious process"
201221,"causative_agent",40480023,"Cestode and/or trematode and/or nematode"
201221,"finding_site",4034270,"Intestinal structure"
201221,"pathology",40484098,"Parasitic process"
201244,"finding_site",4296022,"Vaginal structure"
201244,"morphology",4305589,"Neoplasm, benign"
201254,"finding_site",4034504,"Structure of endocrine system"
201256,"finding_site",37303856,"Soft tissue of abdomen"
201256,"finding_site",4288306,"Structure of soft tissues of abdomen"
201256,"morphology",4305589,"Neoplasm, benign"
201257,"finding_site",4127121,"Ovarian endocrine structure"
201265,"finding_site",4302605,"Splenic structure"
201313,"finding_site",4271678,"Kidney structure"
201332,"finding_site",4263721,"Structure of alveolus dentalis"
201332,"morphology",4053015,"Inflammation"
201332,"morphology",4253008,"Inflammatory morphology"
201337,"finding_site",4232481,"Urinary bladder structure"
201340,"finding_site",4288283,"Stomach structure"
201340,"morphology",4053015,"Inflammation"
201340,"morphology",4253008,"Inflammatory morphology"
201341,"finding_site",4269370,"Abdominopelvic segment of trunk"
201341,"finding_site",4034270,"Intestinal structure"
201341,"finding_site",37219027,"Structure of lumen of intestine"
201341,"morphology",4190388,"Hernia"
201341,"morphology",4185788,"Hernial opening"
201341,"morphology",4093906,"Obstruction"
201344,"finding_site",4034270,"Intestinal structure"
201344,"finding_site",4232481,"Urinary bladder structure"
201344,"morphology",4053885,"Internal fistula"
201353,"causative_agent",4054326,"Ionizing radiation"
201353,"finding_site",4232481,"Urinary bladder structure"
201353,"morphology",4053015,"Inflammation"
201353,"morphology",4253008,"Inflammatory morphology"
201436,"finding_site",37303870,"Structure of organ within cavity of true pelvis"
201436,"finding_site",4221530,"Structure of pelvic viscus"
201436,"morphology",4078068,"Traumatic abnormality"
201461,"finding_site",4088199,"Transplant"
201519,"finding_site",4009105,"Liver structure"
201519,"morphology",37153816,"Malignant neoplasm"
201519,"morphology",4312326,"Neoplasm, malignant (primary)"
201519,"pathology",37157802,"Primary malignant neoplastic proliferation"
201527,"finding_site",4165732,"Prostate"
201527,"morphology",4313421,"Neoplasm of uncertain behavior"
201529,"finding_site",4288283,"Stomach structure"
201529,"morphology",4313421,"Neoplasm of uncertain behavior"
201595,"finding_site",4119162,"Internal rectal venous plexus"
201595,"morphology",4320147,"Thrombosed varices"
201603,"finding_site",4101845,"Tooth, gum, and/or supporting structure"
201606,"morphology",4253008,"Inflammatory morphology"
201606,"pathology",35626098,"Dysregulated host response"
201612,"causative_agent",4302633,"Ethanol"
201612,"causative_agent",4208951,"Ingestible alcohol"
201612,"finding_site",4009105,"Liver structure"
201612,"morphology",4295343,"Damage"
201614,"finding_site",4154158,"Bile duct structure"
201614,"finding_site",4151384,"Gallbladder structure"
201614,"morphology",4209441,"Calculus"
201614,"morphology",4053015,"Inflammation"
201614,"morphology",4253008,"Inflammatory morphology"
201618,"finding_site",4034270,"Intestinal structure"
201620,"finding_site",4271678,"Kidney structure"
201620,"morphology",4209441,"Calculus"
201621,"clinical_course",4236661,"Chronic"
201621,"finding_site",4232481,"Urinary bladder structure"
201621,"morphology",4253009,"Chronic inflammatory morphology"
201626,"finding_site",4049448,"Ovarian structure"
201635,"finding_site",4149192,"Uterine structure"
201675,"finding_site",4271678,"Kidney structure"
201675,"morphology",4210161,"Congenital cavitation"
201675,"morphology",4281594,"Polycystic change"
201675,"occurrence",4116830,"Congenital"
201675,"pathology",4204670,"Pathological developmental process"
201690,"finding_site",4271678,"Kidney structure"
201690,"finding_site",4329658,"Structure of urinary tract proper"
201728,"finding_site",4197119,"Digestive tract structure"
201728,"morphology",4078373,"Foreign body"
201792,"finding_site",4029306,"Urethral structure"
201792,"morphology",4053015,"Inflammation"
201792,"morphology",4253008,"Inflammatory morphology"
201792,"pathology",40480911,"Infectious process"
201801,"finding_site",4151444,"Fallopian tube structure"
201801,"morphology",37153816,"Malignant neoplasm"
201801,"morphology",4312326,"Neoplasm, malignant (primary)"
201801,"pathology",37157802,"Primary malignant neoplastic proliferation"
201817,"finding_site",4132420,"Female genital organ structure"
201817,"morphology",4305589,"Neoplasm, benign"
201820,"finding_site",4034504,"Structure of endocrine system"
201824,"finding_site",4232481,"Urinary bladder structure"
201824,"morphology",4305589,"Neoplasm, benign"
201826,"finding_site",4034504,"Structure of endocrine system"
201894,"clinical_course",4312510,"Sudden onset AND/OR short duration"
201894,"finding_site",4034270,"Intestinal structure"
201894,"finding_site",4207503,"Structure of blood vessel of intestine"
201894,"morphology",42709863,"Structural change due to ischemia"
201901,"finding_site",4009105,"Liver structure"
201901,"morphology",4195605,"Abscess morphology"
201909,"finding_site",4203155,"Female genital structure"
201916,"finding_site",4337115,"Ureteric structure"
201916,"morphology",4209441,"Calculus"
201956,"finding_site",4267861,"Lower limb structure"
201956,"morphology",4175951,"Morphologically abnormal structure"
201956,"occurrence",4116830,"Congenital"
201956,"pathology",4204670,"Pathological developmental process"
201958,"finding_site",4170047,"Structure of integumentary system"
201958,"occurrence",37160324,"Fetal and/or neonatal period"
201958,"occurrence",42872435,"Fetal or neonatal period"
201965,"clinical_course",4312510,"Sudden onset AND/OR short duration"
252351,"causative_agent",4211547,"Pseudomonas"
252351,"finding_site",4012637,"Structure of parenchyma of lung"
252351,"morphology",45771021,"Inflammation and consolidation"
252351,"pathology",40480911,"Infectious process"
252655,"causative_agent",4183468,"Group B streptococcus"
252655,"finding_site",4012637,"Structure of parenchyma of lung"
252655,"morphology",45771021,"Inflammation and consolidation"
252655,"pathology",40480911,"Infectious process"
252758,"finding_site",4165792,"Bone structure of head"
253009,"finding_site",4128342,"Musculoskeletal structure of spine"
253009,"morphology",4136505,"Lateral abnormal curvature"
253009,"occurrence",35624340,"Period of life between birth and death"
253121,"causative_agent",4035081,"Mycobacterium tuberculosis complex"
253121,"finding_site",4213162,"Lung structure"
253121,"morphology",4269928,"Granulomatous inflammation"
253121,"pathology",40480911,"Infectious process"
253321,"finding_site",4240242,"Upper respiratory tract structure"
253549,"finding_site",4071048,"Connective tissue structure"
253790,"causative_agent",4209452,"Klebsiella pneumoniae"
253790,"finding_site",4012637,"Structure of parenchyma of lung"
253790,"morphology",45771021,"Inflammation and consolidation"
253790,"pathology",40480911,"Infectious process"
253796,"finding_site",4237074,"Pleural cavity structure"
253796,"morphology",4307599,"Air leakage"
253815,"finding_site",4166066,"Vulval structure"
253815,"morphology",4206914,"Ulcer"
253954,"causative_agent",4035081,"Mycobacterium tuberculosis complex"
253954,"finding_site",4213162,"Lung structure"
253954,"morphology",4269928,"Granulomatous inflammation"
253954,"pathology",40480911,"Infectious process"
254058,"causative_agent",4274000,"Human respiratory syncytial virus"
254058,"clinical_course",4312510,"Sudden onset AND/OR short duration"
254058,"finding_site",4205284,"Bronchiole structure"
254058,"morphology",4163835,"Acute inflammation"
254058,"pathology",40480911,"Infectious process"
254061,"finding_site",4237074,"Pleural cavity structure"
254061,"morphology",4215818,"Effusion"
254066,"causative_agent",4017962,"Chlamydiaceae"
254066,"finding_site",4012637,"Structure of parenchyma of lung"
254066,"morphology",45771021,"Inflammation and consolidation"
254066,"pathology",40480911,"Infectious process"
254068,"finding_site",4240242,"Upper respiratory tract structure"
