"concept_id","relationship","target_concept_id","target_concept_name"
4217192,"method",4044525,"Excision - action"
4217192,"procedure_site",4082856,"Nipple structure"
4217211,"method",4044190,"Injection - action"
4217238,"method",4207470,"Radionuclide imaging - action"
4217238,"procedure_site",4154333,"Bone structure"
4217346,"method",4106470,"Insertion - action"
4217482,"method",4044526,"Amputation - action"
4217604,"method",4044545,"Destruction - action"
4217604,"procedure_site",4077311,"Penile structure"
4217608,"method",4044526,"Amputation - action"
4217608,"procedure_site",4002716,"Penis part"
4217641,"method",4045086,"Application - action"
4217641,"method",4117981,"Repair - action"
4217641,"procedure_site",4102766,"Corneal structure"
4217766,"method",4044525,"Excision - action"
4217814,"method",4044201,"Obliteration - action"
4217814,"procedure_site",4001039,"Vaginal part"
4217829,"method",4044525,"Excision - action"
4217829,"procedure_site",4262229,"Laryngeal structure"
4218109,"method",4044186,"Surgical removal - action"
4218111,"method",4045049,"Surgical action"
4218111,"procedure_site",4219601,"Skin structure"
4218385,"method",4117981,"Repair - action"
4218385,"procedure_site",4182889,"Structure of anterior wall of vagina"
4218438,"method",4044186,"Surgical removal - action"
4218438,"procedure_site",4076570,"Structure of prepuce of penis"
4218467,"method",4044525,"Excision - action"
4218467,"method",4044182,"Incision - action"
4218467,"procedure_site",4199457,"Arterial structure"
4218743,"method",4117491,"Anastomosis - action"
4218743,"procedure_site",4144672,"Ileal structure"
4218743,"procedure_site",4144541,"Rectum structure"
4218755,"method",4045049,"Surgical action"
4218889,"method",4117981,"Repair - action"
4218889,"procedure_site",4029306,"Urethral structure"
4219029,"method",4142401,"Closed reduction - action"
4219029,"procedure_site",4224516,"Bone structure of humerus"
4219032,"method",4044526,"Amputation - action"
4219032,"procedure_site",4267861,"Lower limb structure"
4219236,"method",4117981,"Repair - action"
4219236,"procedure_site",4136870,"Vaginal wall"
4219240,"method",4117981,"Repair - action"
4219240,"procedure_site",4219601,"Skin structure"
4219346,"method",4117981,"Repair - action"
4219346,"procedure_site",4338099,"Structure of urethral meatus"
4219780,"method",4044525,"Excision - action"
4219780,"procedure_site",4207989,"Left colon structure"
4219893,"method",4044539,"Closure - action"
4219893,"procedure_site",4105319,"Conjunctival structure"
4220029,"method",4106470,"Insertion - action"
4220237,"method",4043849,"Surgical advancement - action"
4220237,"procedure_site",4285885,"Structure of extraocular muscle"
4220239,"method",4235039,"Surgical biopsy - action"
4220239,"procedure_site",4009105,"Liver structure"
4220384,"method",4044524,"Removal - action"
4220384,"procedure_site",46270313,"Structure of product of conception of ectopic pregnancy"
4220838,"method",4044190,"Injection - action"
4220964,"method",4045049,"Surgical action"
4221381,"method",4044182,"Incision - action"
4221381,"procedure_site",4232481,"Urinary bladder structure"
4221619,"method",4044525,"Excision - action"
4221619,"procedure_site",4296022,"Vaginal structure"
4222733,"method",4044525,"Excision - action"
4222733,"procedure_site",4001209,"Pancreas part"
4222936,"method",4044544,"Fusion - action"
4222936,"procedure_site",4150673,"Pleural structure"
4222947,"method",4232650,"Bypass - action"
4222947,"procedure_site",4176710,"Mastoid antrum structure"
4222947,"procedure_site",4254202,"Recessus epitympanicus structure"
4223020,"method",4106470,"Insertion - action"
4223084,"method",4044525,"Excision - action"
4223084,"procedure_site",4223398,"External auditory canal structure"
4223228,"method",4044550,"Dilation - action"
4223228,"method",4043866,"Inspection - action"
4223228,"procedure_site",4230487,"Airway structure"
4223228,"procedure_site",4317407,"Bronchial structure"
4223363,"method",4044210,"Surgical extraction - action"
4223377,"method",4044545,"Destruction - action"
4223377,"procedure_site",4234217,"Structure of hemorrhoidal plexus"
4223536,"method",4232677,"Delivery - action"
4223536,"method",4043861,"Extraction - action"
4223536,"method",4044182,"Incision - action"
4223536,"procedure_site",4308413,"Entire fetus"
4223536,"procedure_site",4075410,"Upper uterine segment"
4223626,"method",4106470,"Insertion - action"
4223934,"method",4044210,"Surgical extraction - action"
4224154,"method",4044524,"Removal - action"
4224173,"method",4044542,"Ligation - action"
4225211,"method",4117981,"Repair - action"
4225211,"procedure_site",4111596,"Superficial femoral artery"
4225212,"method",4117981,"Repair - action"
4225212,"procedure_site",4312338,"Internal carotid artery structure"
4225375,"method",4044525,"Excision - action"
4225375,"method",4044182,"Incision - action"
4225375,"procedure_site",4199457,"Arterial structure"
4225427,"method",4044525,"Excision - action"
4225427,"procedure_site",4244588,"Sigmoid colon structure"
4225570,"method",4043842,"Biopsy - action"
4225570,"procedure_site",4222297,"Abdominal wall"
4225570,"procedure_site",4244412,"Anterior abdominal wall structure"
4225775,"method",4044525,"Excision - action"
4225775,"procedure_site",4287469,"Perianal region structure"
4226178,"method",4044182,"Incision - action"
4226178,"procedure_site",4034054,"Abdomen"
4226178,"procedure_site",4066714,"Scrotal structure"
4226249,"method",4044700,"Administration - action"
4226535,"method",4044525,"Excision - action"
4226535,"procedure_site",4198290,"Iliac lymph node group"
4226830,"method",4083508,"Exploration - action"
4226830,"procedure_site",4111596,"Superficial femoral artery"
4226983,"method",4044525,"Excision - action"
4226983,"procedure_site",4144541,"Rectum structure"
4227277,"method",4117981,"Repair - action"
4227277,"method",40293775,"Surgical implantation - action"
4227277,"procedure_site",4053843,"Finger joint structure"
4227418,"method",4106470,"Insertion - action"
4227418,"method",4044193,"Intubation - action"
4227745,"method",4044176,"Evaluation - action"
4227911,"method",4045069,"Fixation - action"
4227911,"procedure_site",4050857,"Bone structure of ulna"
4228050,"method",4045049,"Surgical action"
4228073,"method",4044190,"Injection - action"
4228304,"method",4232650,"Bypass - action"
4228304,"procedure_site",4049896,"Aortic structure"
