"year","sex","age_group","death_count","denominator","mortality_rate"
2017,"M","60-69",458,21738,0.0210690955929708
2017,"M","70-79",589,12492,0.0471501761127121
2017,"M","80+",693,6347,0.109185441941075
2018,"F","20-29",8,26526,0.000301590891955063
2018,"F","30-39",24,32795,0.00073181887482848
2018,"F","40-49",32,29968,0.00106780565936999
2018,"F","50-59",96,29391,0.0032663060120445
2018,"F","60-69",243,29035,0.00836920957465128
2018,"F","70-79",471,22040,0.0213702359346642
2018,"F","80+",1632,18355,0.0889131026968129
2018,"M","10-19",9,23258,0.000386963625419211
2018,"M","20-29",17,28198,0.000602879636853678
2018,"M","30-39",44,35519,0.00123877361412202
2018,"M","40-49",98,30813,0.0031804757732126
2018,"M","50-59",242,26848,0.00901370679380215
2018,"M","60-69",483,22092,0.0218631178707224
2018,"M","70-79",579,12748,0.0454188892375275
2018,"M","80+",718,6586,0.109019131491042
2019,"F","20-29",9,24996,0.000360057609217475
2019,"F","30-39",19,33276,0.000570982089193413
2019,"F","40-49",32,29993,0.00106691561364318
2019,"F","50-59",94,29110,0.00322913088285812
2019,"F","60-69",198,29006,0.0068261738950562
2019,"F","70-79",449,22276,0.0201562219428982
2019,"F","80+",1581,18940,0.0834741288278775
2019,"M","0-9",10,24589,0.000406685916466713
2019,"M","20-29",19,26426,0.000718988874593204
2019,"M","30-39",41,36125,0.00113494809688581
2019,"M","40-49",88,31058,0.002833408461588
2019,"M","50-59",226,26863,0.00841305885418605
2019,"M","60-69",508,22319,0.0227608763833505
2019,"M","70-79",610,13083,0.0466253917297256
2019,"M","80+",742,6838,0.108511260602515
2020,"F","30-39",11,33647,0.000326923648467917
2020,"F","40-49",40,29871,0.00133909142646714
2020,"F","50-59",107,29031,0.00368571526988392
2020,"F","60-69",222,29306,0.007575240565072
2020,"F","70-79",447,22498,0.0198684327495777
2020,"F","80+",1637,19314,0.0847571709640675
2020,"M","0-9",6,24039,0.000249594409085237
2020,"M","10-19",5,24149,0.000207047910886579
2020,"M","20-29",13,25103,0.000517866390471258
2020,"M","30-39",46,36306,0.0012670082080097
2020,"M","40-49",101,31393,0.00321727773707514
2020,"M","50-59",243,26941,0.00901970973608997
2020,"M","60-69",492,22643,0.0217285695358389
2020,"M","70-79",568,13254,0.0428549871736834
2020,"M","80+",744,7091,0.10492173177267
2021,"F","10-19",5,23607,0.00021180158427585
2021,"F","20-29",8,22602,0.000353950977789576
2021,"F","30-39",15,33542,0.000447200524715282
2021,"F","40-49",52,29806,0.00174461517815205
2021,"F","50-59",93,28875,0.00322077922077922
2021,"F","60-69",235,29400,0.00799319727891156
2021,"F","70-79",532,22603,0.0235366986683184
2021,"F","80+",1942,19937,0.0974068315192858
2021,"M","10-19",6,24622,0.000243684509787994
2021,"M","20-29",16,23887,0.000669820404404069
2021,"M","30-39",50,36248,0.00137938644890753
2021,"M","40-49",99,31422,0.00315065877410731
2021,"M","50-59",260,27184,0.00956444967628016
2021,"M","60-69",549,22981,0.0238892998564031
2021,"M","70-79",660,13400,0.0492537313432836
2021,"M","80+",964,7466,0.129118671309938
2022,"F","20-29",8,21817,0.000366686528853646
2022,"F","30-39",14,33314,0.000420243741369995
2022,"F","40-49",35,29919,0.00116982519469234
2022,"F","50-59",104,28809,0.00360998299142629
2022,"F","60-69",234,29386,0.00796297556659634
2022,"F","70-79",464,22951,0.0202169840094114
2022,"F","80+",1827,19815,0.0922028766086298
2022,"M","10-19",8,25000,0.00032
2022,"M","20-29",14,22938,0.000610340918999041
2022,"M","30-39",67,35927,0.00186489269908425
2022,"M","40-49",109,31579,0.00345166091389848
2022,"M","50-59",248,27370,0.00906101571063208
2022,"M","60-69",523,23195,0.0225479629230438
2022,"M","70-79",659,13686,0.048151395586731
2022,"M","80+",880,7413,0.118710373667881
2023,"F","20-29",10,21420,0.000466853408029879
2023,"F","30-39",25,32495,0.000769349130635482
2023,"F","40-49",37,30293,0.00122140428481827
2023,"F","50-59",87,28768,0.0030241935483871
2023,"F","60-69",206,29329,0.00702376487435644
2023,"F","70-79",424,23650,0.0179281183932347
2023,"F","80+",1645,19486,0.0844195832905676
2023,"M","0-9",5,22345,0.000223763705526964
2023,"M","10-19",8,25278,0.000316480734235303
2023,"M","20-29",18,22210,0.000810445745159838
2023,"M","30-39",55,35111,0.0015664606533565
2023,"M","40-49",116,32042,0.00362024842394357
2023,"M","50-59",198,27558,0.00718484650555193
2023,"M","60-69",473,23381,0.0202301013643557
2023,"M","70-79",604,14093,0.0428581565316114
2023,"M","80+",800,7317,0.1093344266776
2024,"F","20-29",7,21122,0.000331408010605056
2024,"F","30-39",22,31522,0.000697925258549584
2024,"F","40-49",39,30710,0.00126994464343862
2024,"F","50-59",83,28793,0.00288264508734762
2024,"F","60-69",201,29173,0.00688993247180612
2024,"F","70-79",492,24393,0.0201697208215472
2024,"F","80+",1698,19462,0.0872469427602507
2024,"M","10-19",7,25368,0.000275938189845475
2024,"M","20-29",5,21955,0.000227738556137554
2024,"M","30-39",50,34075,0.00146735143066764
2024,"M","40-49",105,32525,0.003228285933897
2024,"M","50-59",210,27778,0.00755993952048384
2024,"M","60-69",504,23466,0.0214778828944004
2024,"M","70-79",596,14681,0.0405966895988012
2024,"M","80+",757,7267,0.104169533507637
