"year","sex","age_group","denominator"
2018,"F","20-29",11412
2018,"F","30-39",14336
2018,"F","40-49",13490
2018,"F","50-59",14106
2018,"F","60-69",14989
2018,"F","70-79",10600
2018,"F","80+",7789
2018,"M","0-9",1538
2018,"M","10-19",6812
2018,"M","20-29",12200
2018,"M","30-39",14715
2018,"M","40-49",12318
2018,"M","50-59",10777
2018,"M","60-69",9973
2018,"M","70-79",6500
2018,"M","80+",3212
2019,"F","0-9",1121
2019,"F","10-19",5878
2019,"F","20-29",10708
2019,"F","30-39",14482
2019,"F","40-49",13508
2019,"F","50-59",13865
2019,"F","60-69",14845
2019,"F","70-79",10817
2019,"F","80+",8262
2019,"M","0-9",1351
2019,"M","10-19",6224
2019,"M","20-29",11378
2019,"M","30-39",15024
2019,"M","40-49",12546
2019,"M","50-59",10662
2019,"M","60-69",9955
2019,"M","70-79",6597
2019,"M","80+",3408
2020,"F","0-9",973
2020,"F","10-19",5230
2020,"F","20-29",10070
2020,"F","30-39",14624
2020,"F","40-49",13365
2020,"F","50-59",13699
2020,"F","60-69",15006
2020,"F","70-79",10987
2020,"F","80+",8558
2020,"M","0-9",1211
2020,"M","10-19",5545
2020,"M","20-29",10742
2020,"M","30-39",15128
2020,"M","40-49",12785
2020,"M","50-59",10608
2020,"M","60-69",9937
2020,"M","70-79",6604
2020,"M","80+",3549
2021,"F","0-9",847
2021,"F","10-19",4630
2021,"F","20-29",9534
2021,"F","30-39",14570
2021,"F","40-49",13256
2021,"F","50-59",13532
2021,"F","60-69",14915
2021,"F","70-79",11141
2021,"F","80+",9026
2021,"M","0-9",1045
2021,"M","10-19",4992
2021,"M","20-29",10065
2021,"M","30-39",15149
2021,"M","40-49",12869
2021,"M","50-59",10678
2021,"M","60-69",9922
2021,"M","70-79",6594
2021,"M","80+",3763
2022,"F","0-9",730
2022,"F","10-19",3978
2022,"F","20-29",9061
2022,"F","30-39",14451
2022,"F","40-49",13235
2022,"F","50-59",13434
2022,"F","60-69",14797
2022,"F","70-79",11418
2022,"F","80+",8954
2022,"M","0-9",906
2022,"M","10-19",4379
2022,"M","20-29",9551
2022,"M","30-39",15040
2022,"M","40-49",13017
2022,"M","50-59",10659
2022,"M","60-69",9882
2022,"M","70-79",6647
2022,"M","80+",3737
2023,"F","0-9",624
2023,"F","10-19",3397
2023,"F","20-29",8678
2023,"F","30-39",14062
2023,"F","40-49",13319
2023,"F","50-59",13362
2023,"F","60-69",14637
2023,"F","70-79",11861
2023,"F","80+",8824
2023,"M","0-9",788
2023,"M","10-19",3807
2023,"M","20-29",9011
2023,"M","30-39",14782
2023,"M","40-49",13226
2023,"M","50-59",10707
2023,"M","60-69",9790
2023,"M","70-79",6788
2023,"M","80+",3657
2024,"F","0-9",515
2024,"F","10-19",2872
2024,"F","20-29",8280
2024,"F","30-39",13588
2024,"F","40-49",13482
2024,"F","50-59",13247
2024,"F","60-69",14433
2024,"F","70-79",12344
2024,"F","80+",8774
2024,"M","0-9",647
2024,"M","10-19",3240
2024,"M","20-29",8613
2024,"M","30-39",14424
2024,"M","40-49",13410
2024,"M","50-59",10822
2024,"M","60-69",9690
2024,"M","70-79",6955
2024,"M","80+",3610
