"concept_id","n_patients","n_records"
4067693,9,9
4068676,9,10
4070609,9,9
4072191,9,9
4072257,9,10
4076443,9,9
4094533,9,9
4120786,9,10
4126179,9,9
4127478,9,9
4127779,9,9
4142959,9,9
4144078,9,9
4146391,9,9
4158252,9,9
4167262,9,9
4176323,9,10
4181778,9,13
4181800,9,9
4200565,9,11
4217608,9,9
4234544,9,10
4241329,9,9
4244210,9,9
4251348,9,9
4260104,9,9
4273761,9,10
4277585,9,9
4295140,9,12
4301352,9,9
4312734,9,9
40482207,9,11
42872588,9,10
43531648,9,12
1244464,8,9
4013510,8,8
4022788,8,8
4028897,8,15
4061603,8,8
4062855,8,8
4065710,8,9
4071250,8,8
4074571,8,8
4082233,8,9
4169785,8,9
4196919,8,9
4216250,8,8
4223084,8,11
4226830,8,8
4230370,8,8
4246527,8,8
4249749,8,8
4295736,8,8
4297990,8,8
4346304,8,8
40480531,8,8
40492244,8,10
46270838,8,8
606227,7,9
619762,7,7
1242753,7,8
4017330,7,10
4017700,7,8
4049372,7,9
4049675,7,7
4059099,7,7
4065438,7,7
4067932,7,7
4073521,7,7
4075026,7,7
4110247,7,8
4112234,7,8
4121436,7,7
4129188,7,7
4163968,7,7
4165348,7,7
4171194,7,7
4181652,7,7
4196934,7,7
4222947,7,9
4225775,7,7
4229918,7,7
4232742,7,12
4236632,7,7
4275747,7,7
4281511,7,7
4285891,7,7
4303853,7,7
37163776,7,7
42872496,7,7
45766884,7,7
4004519,6,6
4012182,6,6
4012461,6,6
4026045,6,6
4032929,6,6
4043182,6,7
4050139,6,6
4070758,6,8
4075290,6,6
4080349,6,6
4085189,6,6
4088717,6,6
4100913,6,6
4107097,6,6
4140091,6,6
4144552,6,6
4146078,6,6
4150846,6,6
4168082,6,6
4168528,6,6
4174519,6,11
4178736,6,8
4185734,6,6
4203771,6,6
4205231,6,7
4209904,6,6
4219029,6,6
4222936,6,6
4243629,6,6
4244381,6,6
4246989,6,11
4263590,6,6
4287259,6,6
4299725,6,6
4301342,6,6
4321828,6,7
4324536,6,6
4327115,6,7
4339412,6,11
35608106,6,24
40487569,6,6
42872711,6,6
619308,5,15
761010,5,5
4032631,5,5
4034245,5,8
4034446,5,5
4047237,5,5
4048321,5,5
4060043,5,5
4063398,5,5
4067257,5,5
4067329,5,5
4074138,5,5
4079945,5,6
4083236,5,6
4092980,5,5
4099484,5,5
4144861,5,5
4149741,5,5
4163842,5,5
4164745,5,5
4167420,5,5
4196045,5,5
4217482,5,5
4228050,5,5
4229994,5,5
4231709,5,5
4233827,5,5
4234811,5,5
4243659,5,6
4243780,5,5
4253785,5,5
4258554,5,8
4259622,5,24
4267567,5,5
4286807,5,5
4287321,5,5
4288992,5,5
4289250,5,5
4328495,5,5
4339494,5,5
4341373,5,5
