"concept_id","concept_name","concept_code","vocabulary_id","concept_class_id","n_patients_total","n_records_total"
1757803,"ganciclovir","4678","RxNorm","Ingredient",126,341
43009053,"itopride hydrochloride","OMOP4700479","RxNorm Extension","Ingredient",126,187
19045045,"ergocalciferol","4018","RxNorm","Ingredient",125,218
45774613,"naloxegol","1551777","RxNorm","Ingredient",124,462
1555120,"fludrocortisone","4452","RxNorm","Ingredient",121,1987
44507865,"prothrombin","1441688","RxNorm","Ingredient",117,126
713196,"interferon beta-1b","72257","RxNorm","Ingredient",114,2411
1346686,"eprosartan","83515","RxNorm","Ingredient",111,1263
1708748,"zanamivir","69722","RxNorm","Ingredient",107,153
1797155,"peginterferon alfa-2b","253453","RxNorm","Ingredient",107,794
1341149,"temozolomide","37776","RxNorm","Ingredient",104,1153
1000560,"ondansetron","26225","RxNorm","Ingredient",95,165
778268,"imipramine","5691","RxNorm","Ingredient",94,346
37498615,"ferric derisomaltose","2274394","RxNorm","Ingredient",94,162
40239056,"abiraterone","1100072","RxNorm","Ingredient",94,1174
1110942,"omalizumab","302379","RxNorm","Ingredient",91,1748
1711246,"entecavir","306266","RxNorm","Ingredient",91,1291
1350310,"cilostazol","21107","RxNorm","Ingredient",90,257
43560385,"dolutegravir","1433868","RxNorm","Ingredient",90,192
922570,"nystatin","7597","RxNorm","Ingredient",89,110
903893,"emedastine","28144","RxNorm","Ingredient",87,117
1704139,"posaconazole","282446","RxNorm","Ingredient",86,692
1714277,"voriconazole","121243","RxNorm","Ingredient",86,346
40175900,"polidocanol","968170","RxNorm","Ingredient",85,124
1361580,"upadacitinib","2196092","RxNorm","Ingredient",83,738
1516800,"risedronate","73056","RxNorm","Ingredient",83,224
45892883,"secukinumab","1599788","RxNorm","Ingredient",82,1053
1129625,"diphenhydramine","3498","RxNorm","Ingredient",78,155
1583722,"exenatide","60548","RxNorm","Ingredient",78,1236
1101554,"colchicine","2683","RxNorm","Ingredient",76,259
40163615,"dronedarone","233698","RxNorm","Ingredient",76,705
1548111,"cinacalcet","407990","RxNorm","Ingredient",75,955
1513876,"insulin lispro protamine, human","314684","RxNorm","Ingredient",74,108
