"concept_id","relationship","target_concept_id","target_concept_name"
72576,"finding_site",4298444,"Breast structure"
72576,"morphology",4305589,"Neoplasm, benign"
72578,"finding_site",4298444,"Breast structure"
72578,"morphology",4313421,"Neoplasm of uncertain behavior"
72618,"finding_site",4133963,"Skeletal muscle structure"
72693,"occurrence",4121979,"Fetal period"
72715,"finding_site",4154333,"Bone structure"
72715,"morphology",4215424,"External hyperostosis"
72857,"finding_site",4154333,"Bone structure"
72926,"finding_site",4121004,"Labyrinth structure"
72926,"morphology",4043006,"Fistula"
72986,"finding_site",4107527,"Lower leg structure"
72994,"clinical_course",4236661,"Chronic"
72994,"finding_site",4214466,"Joint structure"
72995,"finding_site",37219133,"Structure of hand joint region"
72995,"morphology",4237281,"Contracture"
73001,"finding_site",4133963,"Skeletal muscle structure"
73001,"morphology",4253008,"Inflammatory morphology"
73008,"finding_site",4257828,"Structure of enthesis"
73012,"finding_site",4128342,"Musculoskeletal structure of spine"
73012,"morphology",4246304,"Anteroposterior abnormal curvature"
73021,"finding_site",4176631,"Left hip joint structure"
73021,"finding_site",4177897,"Right hip joint structure"
73021,"morphology",4227147,"Dislocation"
73021,"occurrence",4116830,"Congenital"
73021,"pathology",4204670,"Pathological developmental process"
73065,"finding_site",44784125,"Structure of genital organ"
73065,"morphology",4203279,"Contusion - lesion"
73075,"finding_site",4200396,"Upper limb structure"
73075,"morphology",4203279,"Contusion - lesion"
73089,"finding_site",4263335,"Buttock structure"
73089,"morphology",4203279,"Contusion - lesion"
73090,"finding_site",4211098,"Foot structure"
73090,"morphology",4203279,"Contusion - lesion"
73183,"finding_site",4133963,"Skeletal muscle structure"
73290,"finding_site",37219112,"Structure of joint region"
73290,"morphology",4237281,"Contracture"
73300,"finding_site",4137723,"Abductor pollicis longus tendon sheath"
73300,"finding_site",4093218,"Extensor pollicis brevis tendon sheath"
73300,"morphology",4053015,"Inflammation"
73300,"morphology",4253008,"Inflammatory morphology"
73302,"finding_site",4201588,"Structure of vertebral region of back"
73302,"finding_site",620053,"Vertebral column region"
73302,"morphology",4186604,"Abnormal curvature"
73362,"finding_site",4200396,"Upper limb structure"
73362,"morphology",4060415,"Crushing injury (morphology)"
73366,"finding_site",4107527,"Lower leg structure"
73366,"morphology",4060415,"Crushing injury (morphology)"
73373,"finding_site",4159864,"Skin structure of upper limb"
73373,"morphology",4298699,"First degree burn injury"
73553,"finding_site",4214466,"Joint structure"
73560,"finding_site",4196052,"Bone structure of calcaneum"
73560,"morphology",4215424,"External hyperostosis"
73571,"finding_site",4154333,"Bone structure"
73571,"morphology",4331181,"Pathologic fracture"
73574,"finding_site",4154333,"Bone structure"
73574,"morphology",4140519,"Fracture, ununited"
73580,"finding_site",4112039,"Entire lower limb"
73580,"morphology",4260677,"Abnormal shortening"
73580,"occurrence",4116830,"Congenital"
73580,"pathology",4204670,"Pathological developmental process"
73609,"finding_site",4197120,"Bone structure of clavicle"
73609,"morphology",4178756,"Fracture, open"
73649,"finding_site",4192373,"Finger structure"
73649,"morphology",4203279,"Contusion - lesion"
73686,"causative_agent",4035081,"Mycobacterium tuberculosis complex"
73686,"finding_site",4069509,"Structure of genitourinary system"
73686,"morphology",4269928,"Granulomatous inflammation"
73686,"pathology",40480911,"Infectious process"
73723,"finding_site",4227148,"Epididymis structure"
73723,"morphology",4305589,"Neoplasm, benign"
73819,"finding_site",4298444,"Breast structure"
73840,"finding_site",4151929,"Joint structure of shoulder region"
73840,"morphology",4140663,"Degeneration"
73840,"morphology",1447343,"Degeneration and inflammation"
73854,"finding_site",4133963,"Skeletal muscle structure"
73854,"morphology",4243907,"Osseous metaplasia"
73854,"occurrence",4116830,"Congenital"
73866,"finding_site",4298444,"Breast structure"
73866,"morphology",4175951,"Morphologically abnormal structure"
73866,"occurrence",4116830,"Congenital"
73866,"pathology",4204670,"Pathological developmental process"
73872,"finding_site",4169744,"Knee joint structure"
73872,"morphology",4263843,"Deformity"
73872,"occurrence",4116830,"Congenital"
73872,"pathology",4204670,"Pathological developmental process"
73925,"finding_site",4200396,"Upper limb structure"
73925,"morphology",4168004,"Burn injury"
74052,"finding_site",4121004,"Labyrinth structure"
74052,"morphology",4053015,"Inflammation"
74052,"morphology",4253008,"Inflammatory morphology"
74080,"finding_site",4047487,"Urinary system structure"
74124,"finding_site",4214466,"Joint structure"
74125,"finding_site",36695780,"Joint structure of multiple body sites"
74125,"morphology",4053015,"Inflammation"
74125,"morphology",4253008,"Inflammatory morphology"
74127,"finding_site",4027910,"Elbow region structure"
74127,"morphology",4237281,"Contracture"
74150,"finding_site",4176631,"Left hip joint structure"
74150,"finding_site",4177897,"Right hip joint structure"
74150,"morphology",4289733,"Partial congenital subluxation"
74150,"morphology",4096936,"Subluxation"
74150,"occurrence",4116830,"Congenital"
74150,"pathology",4204670,"Pathological developmental process"
74188,"finding_site",4011851,"Bone structure of rib"
74188,"morphology",4049776,"Fracture, closed"
74189,"finding_site",4193248,"Structure of cruciate ligaments of knee joint"
74189,"morphology",4298490,"Sprain"
74322,"finding_site",4066714,"Scrotal structure"
74322,"morphology",4305589,"Neoplasm, benign"
74396,"finding_site",4202366,"Temporomandibular joint structure"
74468,"finding_site",4011851,"Bone structure of rib"
74468,"morphology",4175951,"Morphologically abnormal structure"
74468,"occurrence",4116830,"Congenital"
74468,"pathology",4204670,"Pathological developmental process"
