"concept_id","concept_name","concept_code","vocabulary_id","concept_class_id","n_patients_total","n_records_total"
75617,"Generalized osteoarthritis","201819000","SNOMED","Disorder",14139,112717
4214376,"Hyperglycemia","80394007","SNOMED","Disorder",13832,44923
441818,"Hemangioma","400210000","SNOMED","Disorder",13786,39150
4109701,"Conjunctival degenerations and deposits","193885005","SNOMED","Disorder",13760,39750
319835,"Congestive heart failure","42343007","SNOMED","Disorder",13694,278075
200445,"Chronic prostatitis","19905009","SNOMED","Disorder",13542,176584
4096682,"Bleeding from nose","249366005","SNOMED","Clinical Finding",13498,42822
197610,"Cyst of ovary","79883001","SNOMED","Disorder",13466,40804
36716712,"Calculus of gallbladder without cholecystitis or cholangitis","722869007","SNOMED","Disorder",13397,58288
4077577,"Moderate recurrent major depression","18818009","SNOMED","Disorder",13369,457656
313459,"Sleep apnea","73430006","SNOMED","Disorder",13326,122366
4318699,"Disorder of lacrimal gland","95766002","SNOMED","Disorder",13326,40550
443943,"Herpes zoster","4740000","SNOMED","Disorder",13290,48165
4098302,"Recurrent depression","191616006","SNOMED","Disorder",13213,154207
192676,"Cervical intraepithelial neoplasia grade 1","285836003","SNOMED","Disorder",12934,47100
433243,"Anomaly of tooth position","81256000","SNOMED","Disorder",12815,29382
4216185,"Open wound of upper limb","81405006","SNOMED","Disorder",12670,27051
74728,"Synovitis and tenosynovitis","202900007","SNOMED","Disorder",12651,36248
376422,"Mucopurulent conjunctivitis","243462001","SNOMED","Disorder",12605,30297
4307925,"Psoriasis vulgaris","200975007","SNOMED","Disorder",12580,204322
439708,"Disorders of initiating and maintaining sleep","194437008","SNOMED","Disorder",12566,133482
4195572,"Mild major depression, single episode","79298009","SNOMED","Disorder",12541,79061
4057826,"Irritable bowel syndrome with diarrhea","197125005","SNOMED","Disorder",12493,58497
75860,"Constipation","14760008","SNOMED","Clinical Finding",12444,41464
136368,"Non-toxic multinodular goiter","36241006","SNOMED","Disorder",12439,116520
4198381,"Ulcer of duodenum","51868009","SNOMED","Disorder",12410,97171
441191,"Poisoning due to bite of venomous arthropod","15056007","SNOMED","Disorder",12407,20122
44782549,"Disorder of vertebral column","699699005","SNOMED","Disorder",12396,41092
196738,"Disorder of male genital organ","64557000","SNOMED","Disorder",12329,63168
73008,"Enthesopathy","23680005","SNOMED","Disorder",12327,33700
259153,"Pain in throat","162397003","SNOMED","Clinical Finding",12200,25528
256142,"Dental arch relationship anomaly","266421008","SNOMED","Disorder",12158,80365
444243,"Neurosis","111475002","SNOMED","Disorder",12156,84502
140168,"Psoriasis","9014002","SNOMED","Disorder",12124,147778
440457,"Threatened miscarriage","54048003","SNOMED","Disorder",12100,40018
136773,"Rosacea","398909004","SNOMED","Disorder",12029,112221
199764,"Benign neoplasm of ovary","92260003","SNOMED","Disorder",11954,41380
318169,"Varicose veins of lower extremity","72866009","SNOMED","Disorder",11945,28478
4067069,"Callosity","201040000","SNOMED","Disorder",11941,42840
