"year","sex","age_group","denominator"
2009,"M","60-69",5307
2009,"M","70-79",2193
2009,"M","80+",446
2010,"F","0-9",743
2010,"F","10-19",16927
2010,"F","20-29",28109
2010,"F","30-39",27362
2010,"F","40-49",25643
2010,"F","50-59",20771
2010,"F","60-69",12392
2010,"F","70-79",5200
2010,"F","80+",1287
2010,"M","0-9",288
2010,"M","10-19",9283
2010,"M","20-29",17634
2010,"M","30-39",15004
2010,"M","40-49",12672
2010,"M","50-59",9550
2010,"M","60-69",5646
2010,"M","70-79",2402
2010,"M","80+",535
2011,"F","0-9",265
2011,"F","10-19",14993
2011,"F","20-29",27810
2011,"F","30-39",27230
2011,"F","40-49",25914
2011,"F","50-59",21541
2011,"F","60-69",13129
2011,"F","70-79",5894
2011,"F","80+",1447
2011,"M","0-9",102
2011,"M","10-19",8035
2011,"M","20-29",17448
2011,"M","30-39",15094
2011,"M","40-49",13037
2011,"M","50-59",9854
2011,"M","60-69",5948
2011,"M","70-79",2665
2011,"M","80+",614
2012,"F","0-9",116
2012,"F","10-19",12915
2012,"F","20-29",27272
2012,"F","30-39",27143
2012,"F","40-49",26248
2012,"F","50-59",22205
2012,"F","60-69",13910
2012,"F","70-79",6550
2012,"F","80+",1651
2012,"M","0-9",48
2012,"M","10-19",6755
2012,"M","20-29",17190
2012,"M","30-39",15225
2012,"M","40-49",13334
2012,"M","50-59",10179
2012,"M","60-69",6233
2012,"M","70-79",2947
2012,"M","80+",690
2013,"F","0-9",23
2013,"F","10-19",11180
2013,"F","20-29",26223
2013,"F","30-39",27285
2013,"F","40-49",26571
2013,"F","50-59",22757
2013,"F","60-69",14851
2013,"F","70-79",7021
2013,"F","80+",1872
2013,"M","0-9",11
2013,"M","10-19",5712
2013,"M","20-29",16537
2013,"M","30-39",15539
2013,"M","40-49",13534
2013,"M","50-59",10534
2013,"M","60-69",6568
2013,"M","70-79",3147
2013,"M","80+",799
2014,"F","0-9",2
2014,"F","10-19",9469
2014,"F","20-29",25121
2014,"F","30-39",27351
2014,"F","40-49",26806
2014,"F","50-59",23263
2014,"F","60-69",15853
2014,"F","70-79",7563
2014,"F","80+",2102
2014,"M","0-9",3
2014,"M","10-19",4764
2014,"M","20-29",15818
2014,"M","30-39",15765
2014,"M","40-49",13720
2014,"M","50-59",10830
2014,"M","60-69",7029
2014,"M","70-79",3346
2014,"M","80+",884
2015,"F","0-9",1
2015,"F","10-19",7824
2015,"F","20-29",24013
2015,"F","30-39",27427
2015,"F","40-49",27079
2015,"F","50-59",23601
2015,"F","60-69",16877
2015,"F","70-79",7999
2015,"F","80+",2445
2015,"M","10-19",3867
2015,"M","20-29",15008
2015,"M","30-39",15988
2015,"M","40-49",14002
2015,"M","50-59",11044
2015,"M","60-69",7512
2015,"M","70-79",3521
2015,"M","80+",986
2016,"F","10-19",6284
2016,"F","20-29",22810
2016,"F","30-39",27482
2016,"F","40-49",27348
2016,"F","50-59",23842
2016,"F","60-69",17787
2016,"F","70-79",8674
2016,"F","80+",2772
2016,"M","10-19",3031
2016,"M","20-29",14140
2016,"M","30-39",16116
2016,"M","40-49",14296
2016,"M","50-59",11372
2016,"M","60-69",7843
2016,"M","70-79",3762
2016,"M","80+",1157
2017,"F","10-19",4773
2017,"F","20-29",21494
2017,"F","30-39",27542
2017,"F","40-49",27561
2017,"F","50-59",24176
2017,"F","60-69",18589
2017,"F","70-79",9386
2017,"F","80+",3181
2017,"M","10-19",2256
2017,"M","20-29",12947
2017,"M","30-39",16587
