concept_id,relationship,relationship_id,target_concept_id,target_concept_name
4321878,device,Using device,4044510,Core biopsy needle
4322820,device,Has dir device,4173573,Eyeglasses
4323896,device,Using device,45760465,External beam radiation therapy radionuclide system
4323896,device,Using device,45759481,Stereotactic radiosurgical head frame
4324546,device,Using device,4097825,Surgical suture
4324613,device,Using device,4044383,Fine biopsy needle
4325212,device,Has proc device,4236069,Peritoneal dialysis catheter
4326580,device,Using device,4097825,Surgical suture
4327129,device,Using device,1245222,Echoendoscope
4327660,device,Using device,4097825,Surgical suture
4328240,device,Using device,4149926,Thoracoscope
4330920,device,Using device,45770937,Coronary angioplasty catheter
4333131,device,Has dir device,4232668,Nasolacrimal duct tube
4334402,device,Using device,4279164,Microscope
4334487,device,Using device,4301694,Surgical staple
4334592,device,Using device,4046730,Laser device
4334652,device,Using device,4134654,Radiofrequency controlled thermal probe
4335864,device,Using device,45762277,Endotherapy electrosurgical diathermy system
4336699,device,Using acc device,4260387,Laryngoscope
4336699,device,Using device,4260387,Laryngoscope
4336914,device,Using device,4084319,Bronchoscope
4336914,device,Using acc device,4084319,Bronchoscope
4336914,device,Has dir device,4230993,Tracheobronchial stent
4337047,device,Has dir device,4044008,Tracheostomy tube
4337049,device,Has dir device,4232675,Endobronchial blocker
4337061,device,Using device,1244240,Cardiac annuloplasty ring
4337061,device,Using device,4230990,Prosthetic cardiac annuloplasty ring
4337206,device,Using device,4234585,Prosthetic chorda tendinae
4339412,device,Has dir device,4208975,Intraocular lens implant
4340102,device,Using device,4149927,Choledochoscope
4340646,device,Using acc device,4290594,Endoscope
4340646,device,Using device,4290594,Endoscope
4342523,device,Using device,4097825,Surgical suture
4343012,device,Using acc device,4048015,Cystoscope
4343012,device,Using device,4048015,Cystoscope
4343012,device,Has dir device,4120252,Ureteric stent
4343108,device,Using device,4038662,Biopsy needle
4343792,device,Using device,4239189,Bone screw
4343793,device,Using device,4098108,Bone plate
4343794,device,Using device,4149433,Orthopedic internal fixation system
4346400,device,Using device,4130103,External fixation system
4352647,device,Using acc device,606499,Fiberoptic bronchoscope
4352647,device,Using device,606499,Fiberoptic bronchoscope
4352647,device,Using acc device,45764589,Flexible fiberoptic bronchoscope
4352647,device,Using device,45764589,Flexible fiberoptic bronchoscope
36675314,device,Using device,4313302,Laparoscope
37017256,device,Using device,4097825,Surgical suture
37108568,device,Using acc device,4290594,Endoscope
37153077,device,Using device,4040919,Flexible fiberoptic endoscope
37153789,device,Using device,45761907,"Dermatoscope, digital"
37154070,device,Using device,4313302,Laparoscope
37154360,device,Using device,4313302,Laparoscope
37156605,device,Has dir device,4124393,Balloon dilatation catheter
37156605,device,Has dir device,45762700,Intrauterine balloon
37157813,device,Has dir device,45767328,Cardiac resynchronization therapy implantable defibrillator
37158185,device,Using device,4313302,Laparoscope
37158404,device,Using device,45768197,Ventilator
37158794,device,Has dir device,4213730,Denture
37159748,device,Using device,45760465,External beam radiation therapy radionuclide system
37163186,device,Using acc device,4048015,Cystoscope
37163186,device,Using device,4048015,Cystoscope
37163781,device,Using acc device,4290594,Endoscope
37163781,device,Using device,4290594,Endoscope
37165394,device,Using device,4220976,Robotic arm
37165394,device,Using device,4149926,Thoracoscope
37166976,device,Has dir device,40355609,Intrauterine contraceptive device
37167470,device,Using device,45768386,Aspiration needle
37208338,device,Using device,4084319,Bronchoscope
37208338,device,Using device,42537032,Electromagnetic and optical surgical navigation device tracking system
37394520,device,Using device,4290594,Endoscope
37394520,device,Has dir device,4280677,Stent
37395291,device,Using device,4232823,Suction equipment
40307721,device,Has dir device,45761222,Cervical cerclage
40479379,device,Has dir device,40481924,"Single chamber pulse generator, device"
40479651,device,Has dir device,37163237,Endovascular stent graft
40480519,device,Using device,45760465,External beam radiation therapy radionuclide system
40480642,device,Using device,4044510,Core biopsy needle
40480729,device,Using device,4233512,Colonoscope
40480947,device,Has dir device,4085258,Biologic cardiac valve prosthesis
40481144,device,Using device,4313302,Laparoscope
40482207,device,Has dir device,4038538,Breast implant
40482949,device,Has dir device,40490845,Vagal nerve stimulator
40483386,device,Has dir device,4038672,Pressure dressing
40484969,device,Using device,4044383,Fine biopsy needle
40485447,device,Using device,4149926,Thoracoscope
40485980,device,Using acc device,4290594,Endoscope
40486140,device,Using device,4290594,Endoscope
40486140,device,Using acc device,4290594,Endoscope
40486199,device,Using device,4049103,Arthroscope
40486467,device,Using device,4313302,Laparoscope
40486941,device,Using device,4093739,Neurostimulator
40487173,device,Using device,4149433,Orthopedic internal fixation system
40487346,device,Using device,4038662,Biopsy needle
40487349,device,Using device,4313302,Laparoscope
40487536,device,Has dir device,4306146,Tube
