concept_id,relationship,relationship_id,target_concept_id,target_concept_name
4057078,procedure_site,Has indir proc site,4217142,Heart structure
4059099,procedure_site,Has indir proc site,4049448,Ovarian structure
4059308,procedure_site,Has proc site,4151384,Gallbladder structure
4060257,procedure_site,Has indir proc site,4049896,Aortic structure
4061603,procedure_site,Has indir proc site,4337115,Ureteric structure
4061841,procedure_site,Has proc site,4153243,External ear structure
4062769,procedure_site,Has proc site,40481827,Anatomical or acquired body structure
4062771,procedure_site,Has proc site,40481827,Anatomical or acquired body structure
4062855,procedure_site,Has proc site,40481827,Anatomical or acquired body structure
4062856,procedure_site,Has proc site,40481827,Anatomical or acquired body structure
4063398,procedure_site,Has proc site,40481827,Anatomical or acquired body structure
4063759,procedure_site,Has indir proc site,4353153,Extradural space of brain
4064518,procedure_site,Has proc site,40481827,Anatomical or acquired body structure
4064522,procedure_site,Has proc site,40481827,Anatomical or acquired body structure
4064523,procedure_site,Has proc site,40481827,Anatomical or acquired body structure
4064533,procedure_site,Has proc site,4100253,Middle ear structure
4065058,procedure_site,Has proc site,40481827,Anatomical or acquired body structure
4065062,procedure_site,Has proc site,40481827,Anatomical or acquired body structure
4065687,procedure_site,Has indir proc site,4196657,Eyelid structure
4065834,procedure_site,Has indir proc site,4102766,Corneal structure
4067028,procedure_site,Has indir proc site,4102766,Corneal structure
4067474,procedure_site,Has indir proc site,4164276,Nasal structure
4067681,procedure_site,Has indir proc site,4151384,Gallbladder structure
4067706,procedure_site,Has indir proc site,4195956,Tracheal structure
4067825,procedure_site,Has indir proc site,4179706,Structure of orbit proper
4068921,procedure_site,Has indir proc site,4327174,Palatine tonsillar structure
4069463,procedure_site,Has indir proc site,4289618,Pancreatic duct structure
4069779,procedure_site,Has indir proc site,4027912,Structure of intracranial artery
4069914,procedure_site,Has proc site,4166066,Vulval structure
4069969,procedure_site,Has indir proc site,4149192,Uterine structure
4070140,procedure_site,Has indir proc site,4262229,Laryngeal structure
4070457,procedure_site,Has proc site,4285885,Structure of extraocular muscle
4070544,procedure_site,Has indir proc site,4207370,Pharyngeal structure
4070762,procedure_site,Has indir proc site,4046744,Structure of flexor tendon within wrist region
4070834,procedure_site,Has indir proc site,4307671,Peritoneal cavity structure
4070868,procedure_site,Has proc site,4288283,Stomach structure
4071009,procedure_site,Has indir proc site,4244368,Tooth structure
4071934,procedure_site,Has proc site,4182196,Scrotal and testis structures
4072513,procedure_site,Has indir proc site,4065366,Structure of respiratory system
