concept_id,relationship,relationship_id,target_concept_id,target_concept_name
36675314,morphology,Has dir morph,4185788,Hernial opening
37016897,morphology,Has dir morph,4149485,Intussusception
37016897,morphology,Has dir morph,4190400,Invagination
37016979,morphology,Has dir morph,4179955,Hemorrhage
37153174,morphology,Has dir morph,4254066,Malposition
37156605,morphology,Has dir morph,4179955,Hemorrhage
37169827,morphology,Has dir morph,40599742,Lesion
40310989,morphology,Has dir morph,4217808,Fracture
40480531,morphology,Has dir morph,4030314,Neoplasm
40481144,morphology,Has dir morph,4279699,Cyst
40483386,morphology,Has dir morph,4147210,Lymphatic edema
40483561,morphology,Has proc morph,4029919,Wound
40485980,morphology,Has dir morph,4187628,Polyp
40487348,morphology,Has dir morph,4050007,Scar
40487575,morphology,Has dir morph,4209441,Calculus
40488324,morphology,Has dir morph,4209441,Calculus
40489317,morphology,Has dir morph,4187628,Polyp
40489321,morphology,Has dir morph,4029830,Varix
40489325,morphology,Has indir morph,4029830,Varix
40489836,morphology,Has dir morph,4279699,Cyst
40490324,morphology,Has dir morph,4209441,Calculus
40492771,morphology,Has dir morph,4093906,Obstruction
40493228,morphology,Has dir morph,4195605,Abscess morphology
42709769,morphology,Has dir morph,4217808,Fracture
42872494,morphology,Has dir morph,40599742,Lesion
42872568,morphology,Has dir morph,4266337,Benign leiomyomatous neoplasm - category
42872568,morphology,Has dir morph,37150972,Leiomyoma
42872569,morphology,Has dir morph,4279699,Cyst
42872588,morphology,Has dir morph,4078373,Foreign body
42872600,morphology,Has dir morph,40599742,Lesion
42872674,morphology,Has dir morph,40599742,Lesion
42872675,morphology,Has dir morph,40599742,Lesion
42872876,morphology,Has dir morph,4131949,Colostomy - stoma
43021498,morphology,Has dir morph,4029919,Wound
43531082,morphology,Has dir morph,4217808,Fracture
43531086,morphology,Has dir morph,4227147,Dislocation
43531093,morphology,Has dir morph,4185788,Hernial opening
43531134,morphology,Has dir morph,4185788,Hernial opening
44807107,morphology,Has indir morph,4206914,Ulcer
44808212,morphology,Has dir morph,4030314,Neoplasm
45763875,morphology,Has dir morph,4140663,Degeneration
45763875,morphology,Has proc morph,4140663,Degeneration
45763875,morphology,Has dir morph,4213241,Proliferative mass
46270663,morphology,Has dir morph,4175338,Adhesion
46270686,morphology,Has dir morph,4185788,Hernial opening
46272424,morphology,Has dir morph,4185788,Hernial opening
46273693,morphology,Has dir morph,40599742,Lesion
