"concept_id","sex","patient_count_d1","patient_count_d2","denominator_d1","denominator_d2","prevalence_d1","prevalence_d2","log2_pr","se","ci_low","ci_high","ci_width","fold_diff","fold_ci_low","fold_ci_high","fold_ci_width","fold_symmetric","z","p_value","sig","meta_model_type","n_strata","tau2","I2","Q","pval_Q","lower_predict","upper_predict"
4004241,"F",4423,3728,1126633,878478,0.00392585695608064,0.00424370331414105,0.123029305193389,0.105669935519399,-0.0840799626733023,0.330138573060079,0.414218535733382,1.0890191361526,0.943385961428857,1.25713411837325,0.313748156944389,1.0890191361526,1.16427917352901,0.244310893750128,FALSE,"Random-Effects",8,0.0697688056660834,0.872693052855546,54.9852161018139,1.50099660221572e-09,-0.549684230868352,0.79574284125513
4004241,"M",3062,2614,885338,772162,0.00345856610695576,0.00338529997591179,0.0274741776085009,0.131675846015616,-0.230605738215948,0.285554093432949,0.516159831648897,1.01922613559077,0.852276974734931,1.21887830630927,0.366601331574343,1.01922613559077,0.208650093694805,0.834721402005937,FALSE,"Random-Effects",7,0.105366237674598,0.873161880338325,47.3043909512711,1.62696143684508e-08,-0.829660449415792,0.884608804632793
4004517,"F",9717,18567,1220051,1091391,0.00796442115944333,0.0170122348452571,1.00275071278456,0.248320173929316,0.516052115248381,1.48944931032075,0.973397195072364,2.00381693524351,1.43003664341095,2.80781777758601,1.37778113417506,2.00381693524351,4.03813631779266,5.387754258481e-05,TRUE,"Random-Effects",9,0.545157446342011,0.977858401748758,361.310864248532,3.48318263083773e-73,-0.793595951685655,2.79909737725478
4004517,"M",7899,12629,1008178,1033926,0.0078349259753734,0.0122146072349472,0.579318489770863,0.260609319782048,0.068533608962568,1.09010337057916,1.02156976161659,1.49414326820268,1.04865026759668,2.12889289680135,1.08024262920467,1.49414326820268,2.22293849757698,0.0262199474037427,TRUE,"Random-Effects",9,0.602831402561232,0.985382330057119,547.282845437074,4.9797125959115e-113,-1.30928146827412,2.46791844781585
4005223,"F",179,702,141124,100505,0.00126838808423798,0.00698472712800358,2.38984117740006,0.369622387288896,1.66539461043411,3.11428774436601,1.4488931339319,5.24099661578721,3.17200404420593,8.65952411910282,5.48752007489689,5.24099661578721,6.46562886769132,1.00878390715662e-10,TRUE,"Random-Effects",3,0.319715783459847,0.834951225635805,12.1176301230012,0.00233716864850324,-0.516716164505772,5.2963985193059
4005223,"M",26,127,20649,16427,0.00125914087849291,0.00773117428623608,2.60322866841492,0.311196573032896,1.99329459315816,3.21316274367169,1.21986815051353,6.07644980549725,3.98145180247281,9.27381369172804,5.29236188925524,6.07644980549725,8.36522280127983,6.00014352525399e-17,TRUE,"Random-Effects",2,0,0,0.137262009244325,0.711018261476142,-1.35089870173699,6.55735603856684
4010253,"M",26,52,52930,47217,0.00049121481201587,0.00110129826121948,1.15337578976527,0.34881043165485,0.469719906289892,1.83703167324064,1.36731176695075,2.22433762974528,1.38484058052155,3.57274184530141,2.18790126477986,2.22433762974528,3.30659775366621,0.000944363937131062,TRUE,"Random-Effects",3,0,0,0.903654151597632,0.636464220276485,-0.34743436615956,2.6541859456901
4013574,"F",688,4237,419758,320793,0.00163903963712425,0.0132078941872173,2.70279819503184,0.303640675089476,2.10767340761504,3.29792298244864,1.1902495748336,6.51063470573611,4.30995679640535,9.83498588823183,5.52502909182648,6.51063470573611,8.90130478808672,5.5193966238387e-19,TRUE,"Random-Effects",7,0.514680912842738,0.800874243002265,30.1317121926534,3.71055534782475e-05,0.796594854674092,4.60900153538958
4013574,"M",232,1373,183236,161279,0.00126612674365299,0.00851319762647338,2.42047606217471,0.306153834703086,1.82042557242783,3.02052655192159,1.20010097949375,5.35347647405874,3.53185367299828,8.11463696172058,4.58278328872231,5.35347647405874,7.90607788572087,2.65625022501371e-15,TRUE,"Random-Effects",7,0.486847167425855,0.765047514432883,25.5370782118669,0.000271471689205609,0.55603626630888,4.28491585804054
4013636,"F",21920,19149,1199007,987899,0.0182817948519066,0.0193835604651893,0.175559457126716,0.111028296313053,-0.0420520049117088,0.39317091916514,0.435222924076849,1.12940228644033,0.971272483395124,1.31327670290619,0.342004219511066,1.12940228644033,1.58121364513883,0.113829196464734,FALSE,"Random-Effects",8,0.0938622250772903,0.893582693221557,65.7787742605981,1.0486221521526e-11,-0.594994301169698,0.94611321542313
4013636,"M",16339,14813,982430,906407,0.016631210366133,0.0163425481047697,0.0053385464765053,0.112981809753367,-0.216101731548249,0.22677882450126,0.442880556049509,1.00370725336549,0.860888480702547,1.17021922472045,0.309330744017903,1.00370725336549,0.047251380449287,0.962312877546568,FALSE,"Random-Effects",8,0.0950980557900175,0.860067089199127,50.0239719158072,1.42891687252076e-08,-0.771263045555365,0.781940138508376
4014506,"F",15666,15534,1195029,978041,0.0131093052971936,0.0158827697407368,0.412382463583177,0.0592126016653835,0.296327896888109,0.528437030278245,0.232109133390136,1.33088181581749,1.2280147563805,1.44236573581111,0.214350979430606,1.33088181581749,6.96443750121964,3.29718473013594e-12,TRUE,"Random-Effects",8,0.0234600851005477,0.893376057060386,65.6512956378325,1.11239592090508e-11,0.0240782043247443,0.80068672284161
4014506,"M",10927,10027,961604,877583,0.0113633054770987,0.0114256999053081,0.114444503270826,0.0722279573602943,-0.0271196918322455,0.256008698373897,0.283128390206143,1.08255813600925,0.981377641406303,1.19417038700868,0.212792745602378,1.08255813600925,1.58449037538114,0.113082170155425,FALSE,"Random-Effects",8,0.0334006816090508,0.892070546109917,64.8571798309005,1.6065583614554e-11,-0.350236107163678,0.57912511370533
4015846,"F",546,682,235265,176366,0.00232078719741568,0.00386695848406155,0.623620010701839,0.21178782103552,0.208523509108005,1.03871651229567,0.830193003187669,1.54073635101616,1.15550500527445,2.05439915232454,0.898894147050083,1.54073635101616,2.94455086063352,0.00323423783979621,TRUE,"Random-Effects",6,0.0821803638221707,0.308341970641559,7.22900593612401,0.204158345456534,-0.292583985255481,1.53982400665916
4015846,"M",529,697,222949,195620,0.00237273995398051,0.00356303036499335,0.637265285496259,0.199638406153897,0.245981199503641,1.02854937148888,0.782568171985236,1.55537805133269,1.18589904525375,2.03997202987026,0.854072984616514,1.55537805133269,3.19209764179846,0.00141243577068846,TRUE,"Random-Effects",6,0.0410783043127335,0.18869795863099,6.16293284750386,0.290686194610108,-0.0940360956928034,1.36856666668532
4019646,"F",16,30,42021,32502,0.000380761999952405,0.000923020121838656,1.21682492578659,0.474344314241122,0.287127153602645,2.14652269797054,1.8593955443679,2.32434613341013,1.22020804998644,4.4275932681797,3.20738521819325,2.32434613341013,2.56527777239899,0.0103093236613329,TRUE,"Random-Effects",3,0.0429919980209215,0.0676738214480268,2.14517198595267,0.342122645724507,-1.01058041833643,3.44423026990962
4019646,"M",19,25,30582,25169,0.000621280491792558,0.000993285390758473,0.759645067534728,0.728393672067323,-0.667980296284102,2.18727043135356,2.85525072763766,1.69307404266645,0.629387182596456,4.55442975836519,3.92504257576873,1.69307404266645,1.04290454003905,0.296992506731006,FALSE,"Random-Effects",2,0.627165188212788,0.582801566362666,2.39694092636333,0.121572776637823,-12.9119155166176,14.431205651687
4019824,"F",580,956,522432,372440,0.00111019233125077,0.00256685640640103,1.20194550547997,0.114716976316755,0.977104363483792,1.42678664747614,0.449682283992349,2.30049688902848,1.9685104394949,2.68847237497387,0.719961935478962,2.30049688902848,10.4774859316477,1.09619036114494e-25,TRUE,"Random-Effects",4,0.0185065125946957,0.447546887311068,5.43032509202134,0.14286585083038,0.63562654981629,1.76826446114364
4019824,"M",1016,1537,582972,498948,0.00174279382200174,0.00308048133272405,0.833085724848526,0.11075347259833,0.616012907393056,1.050158542304,0.43414563491094,1.78149165419041,1.53263367219553,2.07075739723483,0.538123725039295,1.78149165419041,7.5219828805719,5.39516502635849e-14,TRUE,"Random-Effects",6,0.0363183765088642,0.597976061907758,12.4370703489124,0.0292656750061764,0.266479640532099,1.39969180916495
4021506,"F",16,38,5798,28364,0.00275957226629872,0.00133972641376393,-1.41256401962625,0.945346922243902,-3.26540994012008,0.440281900867589,3.70569184098767,0.375643483506694,0.103995287500078,1.35686943219362,1.25287414469354,2.66209862251525,-1.49422818902646,0.135115987145886,FALSE,"Pass-Through",1,NA,NA,NA,NA,NA,NA
4021506,"M",42,46,8227,49981,0.0051051416069041,0.000920349732898501,-2.60816268122299,0.524654451123228,-3.63646650975315,-1.57985885269283,2.05660765706031,0.164007911915998,0.0804108221149186,0.334514614619955,0.254103792505036,6.09726682278708,-4.97120090306905,6.65394542798126e-07,TRUE,"Pass-Through",1,NA,NA,NA,NA,NA,NA
4021530,"F",163,72,150629,105206,0.00108212893931447,0.000684371613786286,-0.633716702748513,0.214433058123266,-1.0539977737649,-0.213435631732128,0.84056214203277,0.644513863871969,0.481631690219496,0.86248087316236,0.380849182942864,1.55155700451876,-2.95531252641197,0.00312352465356694,TRUE,"Random-Effects",4,0,0,0.909088181847383,0.823234086076347,-1.31613839630359,0.0487049908065614
4022110,"F",7482,5132,985796,757058,0.00758980559872428,0.00677887295293095,-0.0596530218304223,0.141299633038735,-0.336595213615069,0.217289169954224,0.553884383569293,0.959494856749079,0.791908025518363,1.16254710201392,0.370639076495553,1.04221507073853,-0.422173933134486,0.67289806648725,FALSE,"Random-Effects",8,0.126259676322548,0.803256847879138,35.5793831934735,8.70157664821911e-06,-0.963871430439535,0.844565386778691
4022110,"M",6277,4484,797506,725755,0.00787078717903063,0.00617839353500837,-0.394095557784012,0.209481115135821,-0.804670998891509,0.0164798833234859,0.821150882214995,0.760966285685371,0.57249262017548,1.01148847608253,0.438995855907047,1.31411866571637,-1.88129396546554,0.0599319414556118,FALSE,"Random-Effects",8,0.315378176991541,0.887682855224137,62.3235216134547,5.17829876997476e-11,-1.81141218872193,1.0232210731539
4022627,"F",8,5,8262,5780,0.000968288549987896,0.000865051903114187,-0.162650337644558,0.822090566585049,-1.77391824018138,1.44861756489226,3.22253580507364,0.893382352941177,0.292413487080023,2.72946380318051,2.43705031610048,1.11934156378601,-0.197849658244109,0.843162692377458,FALSE,"Pass-Through",1,NA,NA,NA,NA,NA,NA
